Включение;Отключение;Работа;уровень
2020-02-09 04:52:03;2020-02-09 04:52:06;3;
2020-02-09 04:53:25;2020-02-09 04:55:54;149;
2020-02-09 04:56:13;2020-02-09 05:09:52;819;
2020-02-09 05:19:10;2020-02-09 05:19:18;8;
2020-02-09 05:24:53;2020-02-09 05:25:04;11;
2020-02-10 22:21:11;2020-02-10 22:23:16;125;
2020-02-10 23:09:01;2020-02-10 23:10:03;62;
2020-02-10 23:28:11;2020-02-10 23:37:18;547;
2020-02-10 23:45:06;2020-02-10 23:47:33;147;
2020-02-10 23:58:50;2020-02-11 00:02:41;231;
2020-02-11 00:07:02;2020-02-11 00:08:05;63;
2020-02-11 06:02:30;2020-02-11 06:03:33;63;
2020-02-11 06:13:07;2020-02-11 06:15:12;125;
2020-02-11 06:16:01;2020-02-11 06:18:28;147;
2020-02-11 06:18:41;2020-02-11 06:18:50;9;
2020-02-12 02:55:53;2020-02-12 02:56:55;62;
2020-02-12 03:29:55;2020-02-12 03:34:08;253;
2020-02-12 03:39:35;2020-02-12 03:44:48;313;
2020-02-12 03:47:09;2020-02-12 03:48:31;82;
2020-02-15 01:36:48;2020-02-15 01:37:50;62;
2020-02-15 01:41:39;2020-02-15 01:41:45;6;
2020-02-15 02:32:16;2020-02-15 02:41:43;567;
2020-02-15 02:53:35;2020-02-15 02:55:00;85;
