05VT_GC01D-21.MCR@GRARM;05VT_LP01AO-05.MCR@GRARM;
2020-04-23 09:39:24;0.19416;
2020-04-24 09:18:41;0.52656001;
2020-04-25 14:14:49;0.75155002;
2020-04-27 23:19:22;0.15116;
2020-04-28 08:11:45;0.14454;
2020-04-29 10:47:51;0.25737;
2020-04-29 13:28:09;0.21141;
2020-04-29 18:55:27;0.42910999;
2020-04-30 10:06:39;0.66804999;
2020-05-01 23:56:13;0.36991;
2020-05-04 20:02:53;0.18526;
2020-05-06 12:44:53;0.23164999;
2020-06-10 18:54:48;0.38824001;
2020-06-10 23:33:15;0.3813;
2020-06-13 01:29:04;0.55826002;
2020-06-14 16:34:26;0.66281998;
2020-06-16 06:30:05;0.44850999;
2020-06-21 20:38:52;0.51376998;
2020-06-22 11:31:13;0.38534001;
2020-06-23 07:44:46;0.86063999;
2020-06-28 14:15:17;0.33520001;
2020-06-30 19:55:16;1.76247;
2020-07-03 22:55:46;0.78869998;
2020-07-07 09:11:24;0.69093001;
2020-07-10 23:09:48;0.54149997;
2020-07-12 20:46:22;0.42684001;
2020-07-17 10:04:36;0.78921002;
2020-07-19 22:41:33;0.73021001;
2020-07-20 08:10:37;0.81299001;
2020-07-21 15:25:52;0.69274998;
2020-07-26 23:41:14;0.81295002;
2020-07-27 13:15:23;0.43144;
2020-07-27 22:56:53;0.53784001;
2020-07-28 13:15:39;0.73627001;
2020-07-29 16:02:58;0.96121001;
2020-07-30 23:33:27;0.79321003;
2020-08-01 13:43:02;0.96648002;
2020-08-05 19:30:47;0.73927999;
2020-08-11 08:08:54;0.93620002;
2020-08-17 06:06:12;0.87;
2020-08-20 06:04:55;0.57301998;
2020-08-24 05:38:14;0.67158997;
2020-08-30 01:15:12;0.49647999;
2020-08-31 20:24:44;0.77423;
2020-09-02 02:15:15;0.61598003;
2020-09-09 02:04:25;0.71780998;
2020-09-09 11:06:01;0.86072999;
2020-09-11 01:13:24;0.73039001;
2020-09-14 02:06:07;0.36739999;
2020-10-13 12:28:20;0.0;
2020-10-13 13:08:29;0.0;
2020-10-13 14:24:34;0.0;
2020-10-13 15:26:23;0.0;
2020-10-13 15:30:46;0.0;
2020-10-13 15:45:14;0.0;
2020-10-16 10:51:21;0.045159999;
2020-10-16 19:49:44;0.48297;
2020-10-17 05:49:48;1.06124;
2020-10-17 14:41:10;0.31988001;
2020-10-18 11:24:14;0.74010998;
2020-10-20 10:56:27;0.98357999;
2020-10-22 19:50:10;0.40327001;
2020-10-24 22:12:23;0.37149999;
2020-10-28 21:20:27;0.32912001;
2020-10-29 09:04:37;0.33182001;
2020-10-30 09:26:52;0.71881998;
2020-10-30 09:33:58;0.36556;
2020-10-31 09:09:12;0.69533002;
2020-11-01 09:07:17;0.42109999;
2020-11-02 12:20:33;0.34319001;
2020-11-03 09:25:55;0.45352;
2020-11-04 08:44:45;0.31700999;
2020-11-05 09:05:08;0.67666;
2020-11-06 09:23:42;0.40538001;
2020-11-06 15:39:09;0.19564;
2020-11-07 09:04:24;0.52451998;
2020-11-08 09:16:55;0.63590002;
2020-11-09 09:09:36;0.30575001;
2020-11-10 10:19:26;0.28055;
2020-11-11 09:13:38;0.44688001;
2020-11-11 14:45:50;0.19286001;
2020-11-12 06:26:00;0.77261001;
2020-11-14 20:22:30;0.59779;
2020-11-17 02:01:29;0.76185;
2020-11-17 05:07:51;0.72631001;
2020-11-19 08:49:02;0.57555997;
2020-11-20 09:43:00;0.48293;
2020-11-20 16:11:11;0.40687999;
2020-11-21 09:01:54;0.79698002;
2020-11-22 09:10:08;0.52753001;
2020-11-23 05:05:45;0.48916;
2020-11-24 02:45:29;0.39793;
2020-11-24 16:38:26;0.23555;
2020-11-25 09:01:36;0.54161;
2020-11-27 01:15:43;0.59604001;
2020-11-30 07:02:54;0.50005001;
2020-12-01 09:34:04;0.82705998;
2020-12-03 09:07:39;0.59662002;
2020-12-03 11:34:28;0.39298999;
2020-12-04 12:05:35;0.47512001;
2020-12-05 08:09:11;0.46729001;
2020-12-07 09:05:16;0.66044003;
2020-12-08 07:16:36;0.25235999;
2020-12-10 13:56:35;0.14783999;
2020-12-11 09:02:19;0.47261;
2020-12-12 08:45:43;0.38631001;
2020-12-13 08:29:37;0.48532999;
2020-12-14 08:55:00;0.69147003;
2020-12-16 08:34:47;0.38552001;
